           ANÁLISE DE FREQUÊNCIA DE PALAVRAS           
Arquivo analisado: dom-casmurro.txt
Estrutura utilizada: Open Hash
Total de palavras únicas: 9601
Tempo total de execução: 77 ms
Numero de comparações: 237244
Número de colisões: 81110
═══════════════════════════════════════════════════════
Palavra: dizem, Frequência: 14
Palavra: voltando, Frequência: 14
Palavra: pedia, Frequência: 14
Palavra: enterro, Frequência: 14
Palavra: podiam, Frequência: 14
Palavra: perder, Frequência: 14
Palavra: necessidade, Frequência: 14
Palavra: visita, Frequência: 14
Palavra: trademark, Frequência: 14
Palavra: materia, Frequência: 14
Palavra: propria, Frequência: 14
Palavra: licção, Frequência: 14
Palavra: sonhos, Frequência: 14
Palavra: achar, Frequência: 14
Palavra: costas, Frequência: 14
Palavra: quinze, Frequência: 14
Palavra: naquella, Frequência: 14
Palavra: deante, Frequência: 14
Palavra: hei, Frequência: 14
Palavra: diabo, Frequência: 14
Palavra: iamos, Frequência: 14
Palavra: houve, Frequência: 14
Palavra: ria, Frequência: 14
Palavra: quizesse, Frequência: 14
Palavra: morrer, Frequência: 14
Palavra: at, Frequência: 14
Palavra: bella, Frequência: 13
Palavra: muro, Frequência: 13
Palavra: flòr, Frequência: 13
Palavra: maneira, Frequência: 13
Palavra: sege, Frequência: 13
Palavra: ebook, Frequência: 13
Palavra: poucos, Frequência: 13
Palavra: archive, Frequência: 13
Palavra: especie, Frequência: 13
Palavra: dedos, Frequência: 13
Palavra: riso, Frequência: 13
Palavra: preto, Frequência: 13
Palavra: lembrança, Frequência: 13
Palavra: creança, Frequência: 13
Palavra: pegou, Frequência: 13
Palavra: primeiros, Frequência: 13
Palavra: nelle, Frequência: 13
Palavra: literary, Frequência: 13
Palavra: viagem, Frequência: 13
Palavra: quizer, Frequência: 13
Palavra: respondi, Frequência: 13
Palavra: provavelmente, Frequência: 13
Palavra: emfim, Frequência: 13
Palavra: exemplo, Frequência: 13
Palavra: contra, Frequência: 13
Palavra: faria, Frequência: 13
Palavra: pequena, Frequência: 13
Palavra: fizesse, Frequência: 13
Palavra: pareceu, Frequência: 13
Palavra: velhas, Frequência: 13
Palavra: vale, Frequência: 13
Palavra: reflexão, Frequência: 13
Palavra: full, Frequência: 13
Palavra: qual, Frequência: 13
Palavra: anjo, Frequência: 13
Palavra: pura, Frequência: 13
Palavra: cidade, Frequência: 13
Palavra: repeti, Frequência: 13
Palavra: olhar, Frequência: 13
Palavra: perguntar, Frequência: 13
Palavra: baixo, Frequência: 13
Palavra: certa, Frequência: 13
Palavra: estavam, Frequência: 13
Palavra: sonho, Frequência: 13
Palavra: cemiterio, Frequência: 13
Palavra: seis, Frequência: 13
Palavra: devéras, Frequência: 13
Palavra: carro, Frequência: 13
Palavra: final, Frequência: 13
Palavra: seminarista, Frequência: 13
Palavra: casmurro, Frequência: 12
Palavra: dizel, Frequência: 12
Palavra: terceiro, Frequência: 12
Palavra: estivesse, Frequência: 12
Palavra: proposito, Frequência: 12
Palavra: confessou, Frequência: 12
Palavra: principal, Frequência: 12
Palavra: nisto, Frequência: 12
Palavra: egual, Frequência: 12
Palavra: ternura, Frequência: 12
Palavra: imitar, Frequência: 12
Palavra: vinham, Frequência: 12
Palavra: mesmos, Frequência: 12
Palavra: juro, Frequência: 12
Palavra: menor, Frequência: 12
Palavra: poeta, Frequência: 12
Palavra: café, Frequência: 12
Palavra: conhecia, Frequência: 12
Palavra: teria, Frequência: 12
Palavra: saudades, Frequência: 12
Palavra: deixar, Frequência: 12
Palavra: cavallo, Frequência: 12
Palavra: umas, Frequência: 12
Palavra: escola, Frequência: 12
Palavra: gurgel, Frequência: 12
Palavra: luz, Frequência: 12
Palavra: obra, Frequência: 12
Palavra: lh'o, Frequência: 12
Palavra: olhando, Frequência: 12
Palavra: cinco, Frequência: 12
Palavra: tique, Frequência: 12
Palavra: cair, Frequência: 12
Palavra: musica, Frequência: 12
Palavra: texto, Frequência: 12
Palavra: fortunata, Frequência: 12
Palavra: vieram, Frequência: 12
Palavra: paulo, Frequência: 12
Palavra: eis, Frequência: 12
Palavra: sr, Frequência: 12
Palavra: homens, Frequência: 12
Palavra: sabbado, Frequência: 12
Palavra: soneto, Frequência: 12
Palavra: pedi, Frequência: 12
Palavra: fizeram, Frequência: 12
Palavra: copy, Frequência: 12
Palavra: casar, Frequência: 12
Palavra: resposta, Frequência: 12
Palavra: juntos, Frequência: 12
Palavra: falta, Frequência: 12
Palavra: andava, Frequência: 12
Palavra: acho, Frequência: 12
Palavra: quaes, Frequência: 12
Palavra: on, Frequência: 11
Palavra: leis, Frequência: 11
Palavra: carreira, Frequência: 11
Palavra: levou, Frequência: 11
Palavra: dom, Frequência: 11
Palavra: rir, Frequência: 11
Palavra: paragraph, Frequência: 11
Palavra: pelas, Frequência: 11
Palavra: apostolico, Frequência: 11
Palavra: cartas, Frequência: 11
Palavra: confessar, Frequência: 11
Palavra: fundo, Frequência: 11
Palavra: esquerda, Frequência: 11
Palavra: comsigo, Frequência: 11
Palavra: disso, Frequência: 11
Palavra: diria, Frequência: 11
Palavra: anda, Frequência: 11
Palavra: esquecer, Frequência: 11
Palavra: perdão, Frequência: 11
Palavra: sabes, Frequência: 11
Palavra: cheio, Frequência: 11
Palavra: replicou, Frequência: 11
Palavra: levava, Frequência: 11
Palavra: esperar, Frequência: 11
Palavra: buscar, Frequência: 11
Palavra: lettras, Frequência: 11
Palavra: menino, Frequência: 11
Palavra: noites, Frequência: 11
Palavra: interesse, Frequência: 11
Palavra: sensação, Frequência: 11
Palavra: negocio, Frequência: 11
Palavra: donde, Frequência: 11
Palavra: acaso, Frequência: 11
Palavra: intenção, Frequência: 11
Palavra: moço, Frequência: 11
Palavra: bellas, Frequência: 11
